Label,Message
0,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
1,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk."
0,Must come later.. I normally bathe him in da afternoon mah..
0,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
1,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
0,I am in office:)whats the matter..msg me now.i will call you at break:).
0,Ok no prob... I'll come after lunch then...
0,Am slow in using biola's fne
0,I doubt you could handle 5 times per night in any case...
0,Wanna do some art?! :D
0,"Lol, oh you got a friend for the dog ?"
0,Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x
0,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
0,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
0,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
0,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
0,I sent you  &lt;#&gt;  bucks
0,Not yet chikku..wat abt u?
0,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
1,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
0,Go chase after her and run her over while she's crossing the street
0,Aight should I just plan to come up later tonight?
1,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
0,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
0,"Dear relieved of westonzoyland, all going to plan this end too!"
0,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
0,So wats ur opinion abt him and how abt is character?
0,How i noe... Did ü specify da domain as nusstu... Ü still in sch...
0,On ma way to school. Can you pls send me ashley's number
0,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
0,Hi' Test on  &lt;#&gt; rd ....
0,My sister cleared two round in birla soft yesterday.
0,Is ur lecture over?
1,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
0,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
0,Gud ni8.swt drms.take care
1,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
0,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
0,U wake up already? Thanx 4 e tau sar piah it's quite nice.
1,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
0,Do u noe wat time e place dat sells 4d closes?
0,"Alright if you're sure, let me know when you're leaving"
1,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
0,"Don't worry, * is easy once have ingredients!"
0,Buy one egg for me da..please:)
0,I'm hungry buy smth home...
0,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
0,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE
0,"I can't right this second, gotta hit people up first"
0,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
0,K..k..any special today?
1,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
0,Y lei?
1,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
1,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
0,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
0,"It'll be tough, but I'll do what I have to"
0,Hope youre not having too much fun without me!! see u tomorrow love jess x
0,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
1,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
0,Y so late but i need to go n get da laptop...
0,"Ta-Daaaaa! I am home babe, are you still up ?"
0,Ok lor...
0,Jesus armand really is trying to tell everybody he can find
0,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
0,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
0,Dear how is chechi. Did you talk to her
0,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
0,Ok i msg u b4 i leave my house.
0,Ok i go change also...
0,Should I head straight there or what
1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
0,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night...."
0,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
0,U having lunch alone? I now so bored...
0,S but not able to sleep.
0,"Sir, I need AXIS BANK account no and bank address."
1,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
1,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!"
0,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
0,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
0,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
1,You have 1 new message. Please call 08712400200.
0,i thought we were doing a king of the hill thing there.
0,If u dun drive then how i go 2 sch.
0,Nothing spl..wat abt u and whr ru?
0,At what time are you coming.
0,Host-based IDPS for linux systems.
0,Enjoy urself tmr...
0,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
0,"Cool, text me when you're parked"
0,"Did you say bold, then torch later. Or one torch and 2bold?"
0,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
0,Yes :)it completely in out of form:)clark also utter waste.
1,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
0,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
0,"Hey , is * rite u put »10 evey mnth is that all?"
0,Y ü wan to go there? C doctor?
0,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
0,Yes. that will be fine. Love you. Be safe.
0,ok. I am a gentleman and will treat you with dignity and respect.
0,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.
0,"I noe la... U wana pei bf oso rite... K lor, other days den..."
0,Yup i thk so until e shop closes lor.
0,Oh:)as usual vijay film or its different?
1,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL
0,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
0,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
0,"Sorry, I'll call later"
0,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
0,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
0,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
0,Ok. I only ask abt e movie. U wan ktv oso?
0,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)"
0,"Aight yo, dats straight dogg"
